Serial,en_curid
40523,51298
5710,57327
10925,183592
1356,728231
8910,749670
21835,1519807
6719,184215
40213,2406
5614,92733
1724,1505548
2509,736
3909,19544100
41635,354604
7172,891357
8042,240540
8042,240540
21039,2433
20061,2440
20832,2402
42524,2363
8559,1923
2960,728892
40286,143605
20409,213216
2802,1937
40985,254781
643,852
22290,797893
42581,221567
4042,70631
1477,1051
1700,196273
825,70655
3786,998179
6036,851
6036,851
31612,43395
8788,43395
8607,1494
22478,291939
8698,1331018
8747,1179565
7471,1300252
21647,356232
6254,617550
42823,356938
368,42009
21895,62016
1538,2722
230,23275314
20757,66910
41037,221871
1911,1535528
5158,9988843
20081,216992
20082,23661242
21721,214213
4541,91161
5333,915
5703,437003
20439,175801
1437,299672
54,84317
20836,294462
610,53711
4300,63439
4794,1822
40329,44012
21834,220966
4857,42001
42997,65676
20098,254609
40700,76572
20422,2064
42484,2241
42952,1425
40529,44660
5353,1224114
270,1844
270,1844
270,1844
21705,2063
8248,1242168
20297,856739
42556,67025
7723,213639
21019,774547
1532,311034
1817,432000
3556,1233658
41212,141841
2467,2274
3496,196526
5694,37875
6489,106014
22291,2065
1523,1842
2133,18949289
40910,343999
5466,55188
21952,176037
42646,140422
40171,4527
8185,174311
10904,161136
20459,161136
6925,41980
22625,65124
21921,4233
31345,4163
7142,4163
6284,4068
31213,4068
41748,174005
1107,297206
8097,210429
22146,7434
42479,48927
3258,53382
1021,174686
201,396485
40643,570302
3076,6125
3076,6125
4148,210340
4293,42031
5012,5233
42995,45190
10442,89337
41987,97817
42031,57634
7292,59483
3783,207843
20971,5654
6634,396517
40563,143810
40859,292471
22515,63075
6747,276727
377,5698
4028,1535569
2074,8145410
6909,230732
496,396469
3273,357102
41017,87319
3769,22870422
41266,66283
21537,195487
4792,240181
5160,7472
5573,7246
6005,714155
6905,301758
7544,772653
8888,577665
2505,240829
4075,42127
4075,42127
4075,42127
2329,7080
3240,6290
40989,99636
1735,633645
8987,52946
731,376949
731,376949
40612,6260
21902,6548
41875,6226
2107,930254
8264,6663
5198,7824
3146,162270
20351,6585
40119,238342
