city,lon,lat
Zavrazhye,43.147391,57.41360820000001
Hajdúböszörmény,21.5126637,47.6718908
Patna,85.1375645,25.5940947
Tulcea,28.7914439,45.1716165
Moscow,37.6172999,55.755826
Istanbul,28.9783589,41.0082376
Waxhaw,-80.7434019,34.9245935
Tuscany,11.2486208,43.7710513
Rome,12.4963655,41.9027835
Madaurus,7.8204791,36.0756762
Lochfield,-4.286513,55.609843
Dunfermline,-3.452151,56.071741
Souk Ahras,7.948389799999999,36.2695872
Panjshīr Province,69.9550338,35.5025772
Missing,-94.18733499999999,36.29096
Naples,14.2681244,40.8517746
Kennington,-0.1115584,51.4879638
Canaan,-73.3001233,41.9640877
Liège,5.5796662,50.6325574
Qufu,116.986503,35.580996
Portsmouth,-1.0879769,50.8197675
Arpino,13.6246954,41.6492543
Kaunas,23.9035965,54.8985207
Tishbe,18.7062878,-33.8392576
Burgos,-3.696906,42.3439925
Hierapolis,29.1273821,37.9266358
Pittsburgh,-79.9958864,40.44062479999999
Stockholm,18.0685808,59.32932349999999
Obljaj,16.3925237,44.1771933
Jerusalem,35.21371,31.768319
Gath-Helper,-71.8304872,41.378279
Montier,-91.57541789999999,36.9869985
Tarquinii,11.7575684,42.25418459999999
Chicago,-87.6297982,41.8781136
Sukhumi,41.0234153,43.0015252
Najd,56.1742233,24.0451607
Brussels,4.3517211,50.8503463
Tenochtitlan,-99.133208,19.4326077
Stavropol,41.9683431,45.0454764
Saxony,13.2017384,51.1045407
Languedoc,3.2583626,43.5912356
Lorraine,6.2080932,48.8744233
Savoy,-88.2517165,40.054753
Ostfold,11.3279006,59.25582859999999
Boston,-71.0588801,42.3600825
Scotland,-4.2026458,56.49067119999999
Selishchi,43.500313,54.468155
Lydda,34.888075,31.951014
Malmesbury,-2.102834,51.586357
Ancient Egypt,-71.14602409999999,42.358663
Thetford,0.751657,52.412856
China-Amoy,118.089425,24.479833
Belarus,27.953389,53.709807
Kessel,-74.6777785,40.2150909
Kingdom of France,7.2100572,43.68394
Scandinavia,12.3401709,62.27864750000001
Long Island,-73.13496099999999,40.789142
Ramsgate,1.419895,51.335545
Thrace,24.8877191,41.1295126
Algarve,-7.930834000000001,37.0179538
Persia,-95.5669489,41.5805459
Copenhagen,12.5683372,55.6760968
Katakokombe,24.4203028,-3.3978664
Likasi,26.7378585,-10.9884148
Qi,-96.1822207,38.4036087
Jerez de los Caballeros,-6.774696500000001,38.3212139
Östermalm borough,18.0853091,59.33670470000001
Henan,113.3823545,34.2904302
Clifton,-74.16375529999999,40.8584328
Lublin,22.5684463,51.2464536
Corfu,19.9216777,39.6242621
Zealand,11.7214979,55.4632518
New York,-74.0059728,40.7127753
Quang Binh Province,106.3487474,17.6102715
Hobart,147.3271949,-42.8821377
Cajamarca,-78.51278549999999,-7.1617465
Duchy of Bavaria,11.5773717,48.1362557
Jericho,35.4617583,31.8611058
Germania,10.451526,51.165691
Lacape,-0.5183142,44.8532838
Moesia,25.6983284,43.14279500000001
Anathoth,-79.1961924,36.1682952
Paris,2.3522219,48.856614
Danube,18.3950715,46.3219325
Zenonopolis,-115.1406844,36.1699879
Hong Kong,114.109497,22.396428
Orestis (region),9.483604,51.3132557
Kandahar,65.7371749,31.628871
Guangzhou,113.264385,23.12911
Iga-Ueno,136.12711,34.770164
La Libertad Region,-78.4751945,-8.143593300000001
Hereford,-2.715974,52.05639799999999
Florence,11.2558136,43.7695604
Suriname,-56.027783,3.919305
Tver,35.9175965,56.85872140000001
Kosava,25.1531057,52.75678869999999
Phrygia,-0.4777757,44.058953700000004
Devon,-3.530875,50.7155591
Lower Lorraine,6.2080932,48.8744233
Cairo,31.2357116,30.0444196
Zorah,-73.6187202,45.5264858
Trapani,12.537202,38.0176177
Madrid,-3.7037902,40.4167754
Lisbon,-9.1393366,38.7222524
Dalj,18.9864117,45.4841225
Vikhvatinets,28.994646,47.6683232
Grand River,-85.30008959999999,42.6450451
Vila Viçosa,-7.362459800000001,38.7663221
Volsinii,12.1197532,42.7225393
Atherton,-122.197743,37.4613272
Navahradak,25.8243706,53.597736
Portugal,-8.224454,39.39987199999999
Krakow,19.9449799,50.06465009999999
Nagoya,136.906398,35.1814464
Lakhdenpokhsky District,30.20707119999999,61.443768
Chengji,-121.4599012,38.5500434
Havana,-95.94192710000002,37.091735
Illyria,-91.63515149999999,42.8985928
Saint Petersburg,30.3350986,59.9342802
Bergama,27.179913,39.121449
Angus,-95.712891,37.09024
Niigata,139.0364126,37.9161924
San Juan,-66.1057355,18.4655394
Bilozirka,26.1812036,49.76568109999999
Saint Ann Parish,-77.2405153,18.3281428
Orativ,29.5309375,49.1940945
Pisidia,-118.417422,34.057121
Algeria,1.659626,28.033886
Edmonton,-113.4909267,53.544389
North Yemen,48.516388,15.552727
Urbino,12.6365633,43.7262567
Gila River,-111.3810429,33.0099191
Sozopol,27.6961748,42.4172628
Seoul,126.9779692,37.566535
Valencia,-81.46575539999999,28.5212941
Haripur,72.9106202,33.9946466
Khumbu,86.872778,27.995833
Judea,-87.9885705,42.1907042
India,78.96288,20.593684
Illogan,-5.266490999999999,50.248244
Dalarna,14.6663653,61.0917012
Werowocomoco,-76.65528599999999,37.4096758
Kingston,-76.4859544,44.2311717
Dalmatia,-78.909639,42.960239
Niegoslawice,15.7587579,51.6179533
Grand Valley,-85.86976120000001,42.9744684
Belmonte,-80.5447495,40.4111874
Pamphylia,-87.6534025,41.7418226
Grand Gedeh County,-8.2212979,5.9222078
Smolensk,32.0503663,54.7903112
Retiro,-58.3802473,-34.5896061
Bethlehem,35.2024425,31.7053821
Shandong,117.9249002,35.8939566
Montauban,1.3529599,44.0221252
Tiruchirapalli,78.7046725,10.7904833
Singapore,103.819836,1.352083
Ujjain,75.7849097,23.1793013
Morąg,19.9279337,53.9160398
Shewa,39.4864411,10.0946605
Tymoszówka,32.0707372,48.9686046
Padron,-95.70056489999999,39.058951
Lomakino,45.1306603,55.2214992
Oriente,-76.083023,20.3081609
Preston,-95.99166029999999,35.711491
Cana,-77.668759,38.9786251
Novo Brdo,21.440567,42.6088372
Călineşti,25.0402574,44.8290314
Penza Oblast,44.0940048,53.1412105
Pei County,116.937531,34.721656
Suizhong,120.34431,40.32558
Voŭčyn,23.3084762,52.2834898
Ukraine,31.1655799,48.379433
Marib,45.3228575,15.4700312
Hongan,114.618236,31.288153
Huai'an,119.113185,33.551052
Verkhnyaya Troitsa,37.1404481,57.2509555
Thimphu,89.6392863,27.4727924
Mvomeka'a,12.266667,3.116667
Unity Village,-94.4016176,38.9513958
Kemin,-93.7954421,36.9685947
Gaza Province,32.7181375,-23.0221928
Ruhango,29.7802409,-2.2325402
Hosh Bannaga,33.3458091,16.6596069
Iboudraren,4.2435893,36.5233354
Dinajpur District,88.63317579999999,25.6279123
Lithuania,23.881275,55.169438
Nakhichevan Autonomous Soviet Socialist Republic,45.4912648,39.3256814
Radomyshl,29.2337369,50.4965282
Ely,0.262363,52.399539
Volgograd Oblast,45,49.7604522
Pašman,15.3716684,43.947298
Bouteldja,8.1994276,36.7787756
Guelma,7.4327273,36.458976
Norwich,-72.307869,43.7153482
Cusco,-71.96746259999999,-13.53195
Saft Turab,31.1175137,30.8927796
Oahu,-158.0000565,21.4389123
Samara,50.2212463,53.2415041
Bugnara,13.8609296,42.02198689999999
Hambantota,81.12123079999999,6.1428829
Varanasi,82.9739144,25.3176452
Gumi,128.3445734,36.119485
Han,-94.4948252,37.0553146
Rostov Oblast,41.8258952,47.6853247
Chu,-94.34875129999999,39.0495438
Bonghwa County,128.7323752,36.8930933
Hebron,35.09982600000001,31.532569
Orestis,-70.8772579,42.5650217
Birbhum District,87.6186379,23.8401675
Mecklenburg,12.4295953,53.6126505
Lviv,24.029717,49.839683
Bielefeld,8.532470800000002,52.0302285
Shirebrook,-1.217961,53.2019189
Malmö,13.003822,55.604981
Judah,-88.25720199999999,40.124977
Mali,-3.996166,17.570692
Cantabria,-3.9878427,43.1828396
Vila Real,-7.7422354,41.3010351
Thanjavur,79.13782739999999,10.7869994
Gornja Dobrinja,20.0817408,43.9602758
Pskov,28.3344735,57.8166994
Surin Province,103.4937107,14.882905
Lodeyno,47.3341686,60.1609394
Kirov Oblast,50.2097248,58.4198529
Châlons-en-Champagne,4.363073,48.956682
Adamawa State,12.4380581,9.3250497
Hernando,-89.9937018,34.823987
Kozliki,23.3142651,52.97936499999999
Markivka,39.5620665,49.5210039
Gaalkacyo,47.4392352,6.7872726
Estonia,25.0136071,58.595272
Tobruk,23.941751,32.0681759
Montijo,-8.976149399999999,38.7054501
Jonglei,32.3560952,7.181961899999999
Tampa,-82.4571776,27.950575
Johannesburg,28.0473051,-26.2041028
Tekoa,35.227517,31.652785
